"amount","previousBalance","transactionStatus","transanctionRelatedType","transanctionTime","transanctionType","contestId","fixtureDisplayName","fixtureId","contestName","fixtureStartDate"
101,165,"Pending","Withdrawal","2024-06-07T19:55:44.087Z","Debit",,,,,
101,266,"Pending","Withdrawal","2024-06-07T18:08:07.484Z","Debit",,,,,
100,166,"Success","Winnings","2024-06-07T18:00:07.213Z","Credit","66621341863cf4c61b09987e","CAN vs IRE",72840,"Game of 3","2024-06-07T14:30:00.000Z"
50,116,"Success","Winnings","2024-06-07T18:00:07.196Z","Credit","66621341863cf4c61b09987d","CAN vs IRE",72840,"Game of 3","2024-06-07T14:30:00.000Z"
20,136,"Success","EntryFee","2024-06-07T04:52:40.996Z","Debit","66621341863cf4c61b09987d","CAN vs IRE",72840,"Game of 3","2024-06-07T14:30:00.000Z"
40,176,"Success","EntryFee","2024-06-07T04:52:33.069Z","Debit","66621341863cf4c61b09987e","CAN vs IRE",72840,"Game of 3","2024-06-07T14:30:00.000Z"
20,196,"Success","EntryFee","2024-06-06T18:58:19.418Z","Debit","6660e62ba3fb5122c4f87166","NAM vs SCO",72837,"Game of 3","2024-06-06T19:00:00.000Z"
2,198,"Success","EntryFee","2024-06-06T15:29:43.345Z","Debit","6660e5d8a3fb5122c4f87127","USA vs PAK",72838,"Mega Contest","2024-06-06T15:30:00.000Z"
5,203,"Success","EntryFee","2024-06-06T15:28:18.007Z","Debit","6660e5d8a3fb5122c4f8711f","USA vs PAK",72838,"Kaam ""25"" he","2024-06-06T15:30:00.000Z"
50,153,"Success","Winnings","2024-06-06T02:44:15.133Z","Credit","6660db34fb0f49f7663a79b8","PNG vs UGA",72834,"Game of 3","2024-06-05T23:30:00.000Z"
3,150,"Success","Winnings","2024-06-06T02:44:15.117Z","Credit","665f597ea3fb5122c4f849cf","PNG vs UGA",72834,"Mega Contest","2024-06-05T23:30:00.000Z"
2,152,"Success","EntryFee","2024-06-05T23:27:42.917Z","Debit","665f597ea3fb5122c4f849cf","PNG vs UGA",72834,"Mega Contest","2024-06-05T23:30:00.000Z"
20,172,"Success","EntryFee","2024-06-05T23:25:28.404Z","Debit","6660db34fb0f49f7663a79b8","PNG vs UGA",72834,"Game of 3","2024-06-05T23:30:00.000Z"
50,122,"Success","Winnings","2024-06-05T17:20:26.824Z","Credit","665fd651fb0f49f7661107ae","IND vs IRE",72836,"Game of 3","2024-06-05T14:30:00.000Z"
50,72,"Success","Winnings","2024-06-05T17:20:26.808Z","Credit","665fcf03fb0f49f766105828","IND vs IRE",72836,"Game of 3","2024-06-05T14:30:00.000Z"
50,22,"Success","Winnings","2024-06-05T17:20:26.792Z","Credit","665f26dfa3fb5122c4f84701","IND vs IRE",72836,"Game of 3","2024-06-05T14:30:00.000Z"
20,42,"Success","EntryFee","2024-06-05T05:29:05.894Z","Debit","665fd651fb0f49f7661107ae","IND vs IRE",72836,"Game of 3","2024-06-05T14:30:00.000Z"
20,62,"Success","EntryFee","2024-06-05T03:06:57.605Z","Debit","665fcf03fb0f49f766105828","IND vs IRE",72836,"Game of 3","2024-06-05T14:30:00.000Z"
20,82,"Success","EntryFee","2024-06-04T20:41:53.177Z","Debit","665f26dfa3fb5122c4f84701","IND vs IRE",72836,"Game of 3","2024-06-05T14:30:00.000Z"
18,100,"Success","EntryFee","2024-06-04T16:02:16.523Z","Debit","665f3946fb0f49f766f5039a","NED vs NEP",72833,"Head To Head","2024-06-04T15:30:00.000Z"
20,120,"Success","EntryFee","2024-06-04T15:58:05.762Z","Debit","665f33fcfb0f49f766f38d0a","NED vs NEP",72833,"Game of 3","2024-06-04T15:30:00.000Z"
30,90,"Success","Winnings","2024-06-04T03:51:08.662Z","Credit","665e5eb5fb0f49f766d7c029","AFG vs UGA",72830,"Head To Head","2024-06-04T00:30:00.000Z"
20,70,"Success","Refund","2024-06-04T00:30:00.205Z","Credit","665e2a19fb0f49f766d303b8","AFG vs UGA",72830,"Game of 3","2024-06-04T00:30:00.000Z"
18,88,"Success","EntryFee","2024-06-04T00:28:02.579Z","Debit","665e5eb5fb0f49f766d7c029","AFG vs UGA",72830,"Head To Head","2024-06-04T00:30:00.000Z"
12,100,"Success","EntryFee","2024-06-04T00:26:19.756Z","Debit","665e5d44fb0f49f766d77f93","AFG vs UGA",72830,"Head To Head ","2024-06-04T00:30:00.000Z"
20,120,"Success","EntryFee","2024-06-04T00:26:12.210Z","Debit","665e2a19fb0f49f766d303b8","AFG vs UGA",72830,"Game of 3","2024-06-04T00:30:00.000Z"
20,100,"Success","Winnings","2024-06-03T17:39:14.670Z","Credit","665dd21cfb0f49f766c197b6","SL vs SA",72831,"Head To Head ","2024-06-03T14:30:00.000Z"
50,50,"Success","Winnings","2024-06-03T17:39:14.654Z","Credit","665dd198fb0f49f766c16ff8","SL vs SA",72831,"Game of 3","2024-06-03T14:30:00.000Z"
1,51,"Success","EntryFee","2024-06-03T14:29:54.904Z","Debit","665c906da3fb5122c4f8164e","SL vs SA",72831,"Dollar Only ","2024-06-03T14:30:00.000Z"
12,63,"Success","EntryFee","2024-06-03T14:29:27.949Z","Debit","665dd21cfb0f49f766c197b6","SL vs SA",72831,"Head To Head ","2024-06-03T14:30:00.000Z"
20,83,"Success","EntryFee","2024-06-03T14:29:19.418Z","Debit","665dd198fb0f49f766c16ff8","SL vs SA",72831,"Game of 3","2024-06-03T14:30:00.000Z"
50,33,"Success","Winnings","2024-06-03T05:26:04.819Z","Credit","665d0b91fb0f49f766a0c63d","NAM vs OMN",72829,"Game of 3","2024-06-03T00:30:00.000Z"
4,29,"Success","Winnings","2024-06-03T05:26:04.804Z","Credit","665bbb3aa3fb5122c4f7f16c","NAM vs OMN",72829,"Mega Contest","2024-06-03T00:30:00.000Z"
2,31,"Success","EntryFee","2024-06-03T00:29:58.797Z","Debit","665bbb3aa3fb5122c4f7f16c","NAM vs OMN",72829,"Mega Contest","2024-06-03T00:30:00.000Z"
20,51,"Success","EntryFee","2024-06-03T00:24:44.362Z","Debit","665d0b91fb0f49f766a0c63d","NAM vs OMN",72829,"Game of 3","2024-06-03T00:30:00.000Z"
50,1,"Success","Credit","2024-06-02T16:04:40.849Z","Credit",,,,,
40,41,"Success","EntryFee","2024-06-02T14:26:28.000Z","Debit","665c756bfb0f49f7667528b8","WI vs PNG",72828,"Game of 3","2024-06-02T14:30:00.000Z"
6,35,"Success","Refund","2024-06-02T02:05:27.353Z","Credit","6658ae24a3fb5122c4f7c552","USA vs CAN",72827,"Ben 10 ","2024-06-02T00:30:00.000Z"
6,41,"Success","EntryFee","2024-06-01T07:13:09.082Z","Debit","6658ae24a3fb5122c4f7c552","USA vs CAN",72827,"Ben 10 ","2024-06-02T00:30:00.000Z"
20,61,"Success","EntryFee","2024-06-01T07:12:58.126Z","Debit","6658ae24a3fb5122c4f7c549","USA vs CAN",72827,"Game of 3","2024-06-02T00:30:00.000Z"
20,81,"Success","EntryFee","2024-05-30T17:25:52.264Z","Debit","6657ffc7fb0f49f7667c6b24","ENG vs PAK",72781,"Game of 3","2024-05-30T17:30:00.000Z"
20,61,"Success","Refund","2024-05-26T19:00:00.079Z","Credit","66538137fb0f49f766e23ce0","WI vs SA",76371,"Game of 3","2024-05-26T19:00:00.000Z"
20,81,"Success","EntryFee","2024-05-26T18:59:20.640Z","Debit","66538137fb0f49f766e23ce0","WI vs SA",76371,"Game of 3","2024-05-26T19:00:00.000Z"
50,31,"Success","Winnings","2024-05-26T16:57:42.627Z","Credit","66533dbffb0f49f766c31072","KKR vs SRH",74766,"Game of 3","2024-05-26T14:00:00.000Z"
30,1,"Success","Winnings","2024-05-26T16:57:42.613Z","Credit","66533bd3fb0f49f766c28f91","KKR vs SRH",74766,"Head To Head","2024-05-26T14:00:00.000Z"
18,19,"Success","EntryFee","2024-05-26T13:53:55.249Z","Debit","66533bd3fb0f49f766c28f91","KKR vs SRH",74766,"Head To Head","2024-05-26T14:00:00.000Z"
20,39,"Success","EntryFee","2024-05-26T13:53:44.960Z","Debit","66533dbffb0f49f766c31072","KKR vs SRH",74766,"Game of 3","2024-05-26T14:00:00.000Z"
2,41,"Success","EntryFee","2024-05-25T18:37:19.787Z","Debit","66509d87a3fb5122c4f758fd","WI vs SA",76370,"Mega Contest","2024-05-25T19:00:00.000Z"
