"amount","previousBalance","transactionStatus","transanctionRelatedType","transanctionTime","transanctionType","contestId","fixtureDisplayName","fixtureId","contestName","fixtureStartDate"
18,21,"Success","EntryFee","2024-06-08T00:25:27.382Z","Debit","6663a3d79a5d16bdb4747fcd","SL vs BAN",72841,"Head To Head","2024-06-08T00:30:00.000Z"
20,41,"Success","EntryFee","2024-06-08T00:25:18.044Z","Debit","666399079a5d16bdb4722419","SL vs BAN",72841,"Game of 3","2024-06-08T00:30:00.000Z"
59,100,"Success","EntryFee","2024-06-07T23:06:05.730Z","Debit","66634ce79a5d16bdb46ae0f2","NZ vs AFG",72839,"Head To Head ","2024-06-07T23:30:00.000Z"
106,206,"Pending","Withdrawal","2024-06-07T18:02:17.254Z","Debit",,,,,
200,6,"Success","Winnings","2024-06-07T18:00:07.277Z","Credit","66621341863cf4c61b099884","CAN vs IRE",72840,"Head To Head","2024-06-07T14:30:00.000Z"
118,124,"Success","EntryFee","2024-06-07T14:21:29.294Z","Debit","66621341863cf4c61b099884","CAN vs IRE",72840,"Head To Head","2024-06-07T14:30:00.000Z"
30,94,"Success","Winnings","2024-06-06T22:28:04.125Z","Credit","666206f99a5d16bdb443b223","NAM vs SCO",72837,"Head To Head","2024-06-06T19:00:00.000Z"
30,64,"Success","Winnings","2024-06-06T22:28:04.109Z","Credit","666203e39a5d16bdb442ac14","NAM vs SCO",72837,"Head To Head","2024-06-06T19:00:00.000Z"
103,167,"Success","Withdrawal","2024-06-06T20:07:10.837Z","Debit",,,,,
18,85,"Success","EntryFee","2024-06-06T18:59:40.087Z","Debit","666206f99a5d16bdb443b223","NAM vs SCO",72837,"Head To Head","2024-06-06T19:00:00.000Z"
18,103,"Success","EntryFee","2024-06-06T18:59:05.447Z","Debit","666203e39a5d16bdb442ac14","NAM vs SCO",72837,"Head To Head","2024-06-06T19:00:00.000Z"
100,3,"Success","Credit","2024-06-06T18:56:18.390Z","Credit",,,,,
20,23,"Success","EntryFee","2024-06-06T15:12:18.706Z","Debit","66614004fb0f49f766510b72","USA vs PAK",72838,"Game of 3","2024-06-06T15:30:00.000Z"
7,30,"Success","Admin Deduction","2024-06-06T12:44:15.014Z","Debit","",,"","",
