"amount","previousBalance","transactionStatus","transanctionRelatedType","transanctionTime","transanctionType","contestId","fixtureDisplayName","fixtureId","contestName","fixtureStartDate"
20,20,"Success","EntryFee","2024-06-07T17:40:13.150Z","Debit","66621333863cf4c61b099848","SL vs BAN",72841,"Game of 3","2024-06-08T00:30:00.000Z"
20,40,"Success","EntryFee","2024-06-07T17:40:01.390Z","Debit","6662133a863cf4c61b099864","NZ vs AFG",72839,"Game of 3","2024-06-07T23:30:00.000Z"
20,60,"Success","EntryFee","2024-06-07T11:07:23.839Z","Debit","666292199a5d16bdb454b766","CAN vs IRE",72840,"Game of 3","2024-06-07T14:30:00.000Z"
20,80,"Success","EntryFee","2024-06-06T23:16:32.974Z","Debit","66621341863cf4c61b09987d","CAN vs IRE",72840,"Game of 3","2024-06-07T14:30:00.000Z"
150,230,"Pending","Withdrawal","2024-06-06T23:10:55.774Z","Debit",,,,,
100,130,"Success","Winnings","2024-06-06T22:28:04.092Z","Credit","6660e62ba3fb5122c4f87167","NAM vs SCO",72837,"Game of 3","2024-06-06T19:00:00.000Z"
50,80,"Success","Winnings","2024-06-06T22:28:04.076Z","Credit","6660e62ba3fb5122c4f87166","NAM vs SCO",72837,"Game of 3","2024-06-06T19:00:00.000Z"
50,30,"Success","Winnings","2024-06-06T19:51:04.816Z","Credit","66614004fb0f49f766510b72","USA vs PAK",72838,"Game of 3","2024-06-06T15:30:00.000Z"
40,70,"Success","EntryFee","2024-06-06T18:54:38.307Z","Debit","6660e62ba3fb5122c4f87167","NAM vs SCO",72837,"Game of 3","2024-06-06T19:00:00.000Z"
20,90,"Success","EntryFee","2024-06-06T18:19:50.108Z","Debit","6660e62ba3fb5122c4f87166","NAM vs SCO",72837,"Game of 3","2024-06-06T19:00:00.000Z"
20,110,"Success","EntryFee","2024-06-06T14:57:03.670Z","Debit","66614004fb0f49f766510b72","USA vs PAK",72838,"Game of 3","2024-06-06T15:30:00.000Z"
20,130,"Success","EntryFee","2024-06-06T04:50:12.337Z","Debit","6660e5d8a3fb5122c4f87121","USA vs PAK",72838,"Game of 3","2024-06-06T15:30:00.000Z"
50,80,"Success","Winnings","2024-06-06T04:21:06.417Z","Credit","665f5980a3fb5122c4f849e2","AUS vs OMN",72835,"Game of 3","2024-06-06T00:30:00.000Z"
50,30,"Success","Winnings","2024-06-06T02:44:15.053Z","Credit","665f597ea3fb5122c4f849c9","PNG vs UGA",72834,"Game of 3","2024-06-05T23:30:00.000Z"
20,10,"Success","Refund","2024-06-06T00:30:00.167Z","Credit","6660d77ffb0f49f7663a26ec","AUS vs OMN",72835,"Game of 3","2024-06-06T00:30:00.000Z"
20,30,"Success","EntryFee","2024-06-06T00:02:08.589Z","Debit","6660d77ffb0f49f7663a26ec","AUS vs OMN",72835,"Game of 3","2024-06-06T00:30:00.000Z"
20,50,"Success","EntryFee","2024-06-05T21:48:44.980Z","Debit","6660db34fb0f49f7663a79b8","PNG vs UGA",72834,"Game of 3","2024-06-05T23:30:00.000Z"
20,70,"Success","EntryFee","2024-06-05T16:45:03.542Z","Debit","665f5980a3fb5122c4f849e2","AUS vs OMN",72835,"Game of 3","2024-06-06T00:30:00.000Z"
20,90,"Success","EntryFee","2024-06-05T16:42:58.800Z","Debit","665f597ea3fb5122c4f849c9","PNG vs UGA",72834,"Game of 3","2024-06-05T23:30:00.000Z"
90,0,"Success","Credit","2024-06-05T15:33:01.492Z","Credit",,,,,
20,20,"Success","EntryFee","2024-06-05T02:50:41.166Z","Debit","665fcf03fb0f49f766105828","IND vs IRE",72836,"Game of 3","2024-06-05T14:30:00.000Z"
20,40,"Success","EntryFee","2024-06-05T02:01:29.485Z","Debit","665fa48cfb0f49f7660c94bc","IND vs IRE",72836,"Game of 3","2024-06-05T14:30:00.000Z"
20,20,"Success","Refund","2024-06-04T18:58:05.049Z","Credit","665efb1dfb0f49f766ebc80b","ENG vs SCO",72832,"Winner takes all","2024-06-04T14:30:00.000Z"
20,0,"Success","Refund","2024-06-04T18:58:05.030Z","Credit","665ddbd1a3fb5122c4f82c2d","ENG vs SCO",72832,"Winner takes all","2024-06-04T14:30:00.000Z"
20,20,"Success","EntryFee","2024-06-04T14:46:49.373Z","Debit","665ddbcca3fb5122c4f82c14","NED vs NEP",72833,"Game of 3","2024-06-04T15:30:00.000Z"
20,40,"Success","EntryFee","2024-06-04T13:03:31.958Z","Debit","665efb1dfb0f49f766ebc80b","ENG vs SCO",72832,"Game of 3","2024-06-04T14:30:00.000Z"
20,60,"Success","EntryFee","2024-06-04T06:12:17.079Z","Debit","665ddbd1a3fb5122c4f82c2d","ENG vs SCO",72832,"Game of 3","2024-06-04T14:30:00.000Z"
50,10,"Success","Winnings","2024-06-04T03:51:08.645Z","Credit","665e0227fb0f49f766cf7897","AFG vs UGA",72830,"Game of 3","2024-06-04T00:30:00.000Z"
20,30,"Success","EntryFee","2024-06-03T17:49:34.754Z","Debit","665e0227fb0f49f766cf7897","AFG vs UGA",72830,"Game of 3","2024-06-04T00:30:00.000Z"
20,50,"Success","EntryFee","2024-06-03T17:49:27.723Z","Debit","665c907fa3fb5122c4f8165e","AFG vs UGA",72830,"Game of 3","2024-06-04T00:30:00.000Z"
50,0,"Success","Credit","2024-06-03T17:47:07.075Z","Credit",,,,,
20,20,"Success","EntryFee","2024-06-03T14:23:25.785Z","Debit","665dd198fb0f49f766c16ff8","SL vs SA",72831,"Game of 3","2024-06-03T14:30:00.000Z"
20,40,"Success","EntryFee","2024-06-03T10:58:36.162Z","Debit","665d9e8cfb0f49f766bca111","SL vs SA",72831,"Game of 3","2024-06-03T14:30:00.000Z"
40,0,"Success","Credit","2024-06-03T10:57:16.777Z","Credit",,,,,
18,18,"Success","EntryFee","2024-06-03T10:46:32.549Z","Debit","665d47e3fb0f49f766b2ef26","SL vs SA",72831,"Head To Head","2024-06-03T14:30:00.000Z"
